"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC04002292.hg.1",-1.0319615030303,5.20033238383839,-7.87375420871627,2.18122898103162e-13,1.0979786683033e-11,19.9218933818222,"TC04002292.hg.1"
"TC15001156.hg.1",-1.07737343030303,3.60732908080808,-7.8176964639534,3.06796792498026e-13,1.47788457632092e-11,19.5890223430392,"TC15001156.hg.1"
"TC15000025.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15000025.hg.1"
"TC15000138.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15000138.hg.1"
"TC15000149.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15000149.hg.1"
"TC15000208.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15000208.hg.1"
"TC15001013.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15001013.hg.1"
"TC15001052.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15001052.hg.1"
"TC15001060.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15001060.hg.1"
"TC15001064.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15001064.hg.1"
"TC15001094.hg.1",-1.11419955151515,3.72576985858586,-7.80730121763316,3.26787427930635e-13,1.55551288918611e-11,19.5274319104816,"TC15001094.hg.1"
